C,threshold,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,fit_seconds,n_iter,convergence_warnings,stat_distortion_accuracy,stat_distortion_macro_f1,stat_distortion_fake_recall,stat_distortion_samples,causal_error_accuracy,causal_error_macro_f1,causal_error_fake_recall,causal_error_samples,emotional_provocation_accuracy,emotional_provocation_macro_f1,emotional_provocation_fake_recall,emotional_provocation_samples,source_lack_accuracy,source_lack_macro_f1,source_lack_fake_recall,source_lack_samples,img_mismatch_accuracy,img_mismatch_macro_f1,img_mismatch_fake_recall,img_mismatch_samples
0.075,-0.03999999999999959,0.7089840681268265,0.708799688283191,0.7083951516991527,0.7084976087392414,0.7783858321488708,16.646649599075317,5,0,0.6175230566534914,0.5794761933308243,0.6671133231240429,7590,0.6407647240209683,0.5940609101767917,0.7099032017870439,9729,0.6350752878653676,0.5541484548730926,0.7897165458141068,2258,0.7313518148042297,0.6495696655250177,0.8719562243502051,10497,0.6534216335540839,0.5996633887409726,0.717391304347826,453
0.1,-0.03999999999999959,0.7092668824435157,0.7090612348779681,0.7087247257848337,0.7088183367808367,0.7780593810514074,17.776901960372925,5,0,0.619235836627141,0.5816867868016309,0.6674961715160797,7590,0.6415870079144824,0.5962548830662701,0.7075204765450483,9729,0.6350752878653676,0.5541484548730926,0.7897165458141068,2258,0.7308754882347337,0.6504123107105507,0.8692202462380301,10497,0.6688741721854304,0.6167944958267539,0.7298136645962733,453
0.125,-0.03999999999999959,0.7096125443861359,0.7094005928454094,0.7090880103540895,0.7091780790579456,0.7773168570009391,18.525500774383545,5,0,0.6221343873517786,0.5848711780439714,0.6696018376722818,7590,0.6424092918079967,0.5976794339658413,0.7069247952345495,9729,0.6346324180690877,0.5529881298353697,0.7903757415952538,2258,0.7303991616652377,0.651319797521528,0.8663474692202462,10497,0.6710816777041942,0.6200627065121332,0.7298136645962733,453
0.15,-0.03999999999999959,0.7087326776231028,0.7085118938428105,0.7082256465722141,0.7083109727737826,0.776403968013485,18.65285634994507,5,0,0.6217391304347826,0.5847604347546467,0.6684532924961715,7590,0.642512077294686,0.5986273401401626,0.7049888309754282,9729,0.6346324180690877,0.5538129786926745,0.7890573500329597,2258,0.729637039154044,0.6510698569473001,0.8645690834473324,10497,0.6754966887417219,0.6223051574224798,0.7391304347826086,453
0.2,-0.05999999999999961,0.7063444678377274,0.7064424276019369,0.7054085214489005,0.7055257221212959,0.7744334810427697,20.716535091400146,5,0,0.6256916996047431,0.5854418567765471,0.680895865237366,7590,0.6456984273820536,0.5975870845757545,0.7182427401340283,9729,0.641718334809566,0.555813899766931,0.8048780487804879,2258,0.7285891207011527,0.6459234334564757,0.8700410396716827,10497,0.6777041942604857,0.6196342305037957,0.7515527950310559,453
